Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
Resumen por provincias
Población por provincias y sexo.
Unidades:   Personas

	Total																									Hombres																									Mujeres																									
	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	
Total	47.450.795	47.026.208	46.722.980	46.572.132	46.557.008	46.624.382	46.771.341	47.129.783	47.265.321	47.190.493	47.021.031	46.745.807	46.157.822	45.200.737	44.708.964	44.108.530	43.197.684	42.717.064	41.837.894	41.116.842	40.499.791	40.202.160	39.852.651	""	39.669.394	23.255.590	23.042.428	22.896.602	22.832.861	22.843.610	22.890.383	22.985.676	23.196.386	23.298.356	23.283.187	23.226.185	23.116.988	22.847.737	22.339.962	22.100.466	21.780.869	21.285.247	21.034.326	20.564.089	20.165.514	19.821.384	19.670.642	19.488.465	""	19.399.549	24.195.205	23.983.780	23.826.378	23.739.271	23.713.398	23.733.999	23.785.665	23.933.397	23.966.965	23.907.306	23.794.846	23.628.819	23.310.085	22.860.775	22.608.498	22.327.661	21.912.437	21.682.738	21.273.805	20.951.328	20.678.407	20.531.518	20.364.186	""	20.269.845	
02 Albacete	388.270	388.167	388.786	390.032	392.118	394.580	396.987	400.007	402.837	402.318	401.682	400.891	397.493	392.110	387.658	384.640	379.448	376.556	371.787	367.283	363.263	361.021	358.597	""	359.010	194.081	193.911	194.158	194.743	195.841	197.014	198.230	200.016	201.640	201.400	201.396	201.162	199.820	196.772	194.348	192.624	189.743	188.139	185.458	182.826	180.311	179.210	178.058	""	178.130	194.189	194.256	194.628	195.289	196.277	197.566	198.757	199.991	201.197	200.918	200.286	199.729	197.673	195.338	193.310	192.016	189.705	188.417	186.329	184.457	182.952	181.811	180.539	""	180.880	
03 Alicante/Alacant	1.879.888	1.858.683	1.838.819	1.825.332	1.836.459	1.855.047	1.868.438	1.945.642	1.943.910	1.934.127	1.926.285	1.917.012	1.891.477	1.825.264	1.783.555	1.732.389	1.657.040	1.632.349	1.557.968	1.490.265	1.445.144	1.410.946	1.388.933	""	1.379.762	931.856	920.915	911.097	904.711	911.173	920.920	928.519	968.927	969.237	964.560	961.733	958.200	947.523	913.455	892.862	866.000	825.568	811.672	772.613	735.179	710.896	693.933	682.380	""	677.118	948.032	937.768	927.722	920.621	925.286	934.127	939.919	976.715	974.673	969.567	964.552	958.812	943.954	911.809	890.693	866.389	831.472	820.677	785.355	755.086	734.248	717.013	706.553	""	702.644	
04 Almería	727.945	716.820	709.340	706.672	704.297	701.211	701.688	699.329	704.219	702.819	695.560	684.426	667.635	646.633	635.850	612.315	580.077	565.310	546.498	533.168	518.229	512.843	505.448	""	501.761	371.558	365.701	361.319	359.676	358.223	356.058	356.663	355.658	359.547	361.189	358.112	352.395	343.716	333.227	329.632	315.056	294.186	287.292	276.380	269.545	259.384	256.380	252.177	""	250.552	356.387	351.119	348.021	346.996	346.074	345.153	345.025	343.671	344.672	341.630	337.448	332.031	323.919	313.406	306.218	297.259	285.891	278.018	270.118	263.623	258.845	256.463	253.271	""	251.209	
01 Araba/Álava	333.940	331.549	328.868	326.574	324.126	323.648	321.932	321.417	322.557	319.227	317.352	313.819	309.635	305.459	301.926	299.957	295.905	294.360	291.860	288.793	286.497	285.748	284.595	""	281.821	164.524	163.499	162.175	161.354	160.240	160.294	159.583	159.622	160.649	159.041	158.322	156.418	154.376	152.040	150.297	149.623	147.475	146.651	145.251	143.579	142.269	141.900	141.350	""	139.940	169.416	168.050	166.693	165.220	163.886	163.354	162.349	161.795	161.908	160.186	159.030	157.401	155.259	153.419	151.629	150.334	148.430	147.709	146.609	145.214	144.228	143.848	143.245	""	141.881	
33 Asturias	1.018.784	1.022.800	1.028.244	1.034.960	1.042.608	1.051.229	1.061.756	1.068.165	1.077.360	1.081.487	1.084.341	1.085.289	1.080.138	1.074.862	1.076.896	1.076.635	1.073.761	1.075.381	1.073.971	1.075.329	1.076.567	1.084.314	1.081.834	""	1.087.885	486.066	488.137	490.738	493.911	497.852	502.175	507.927	511.346	516.420	518.571	520.402	520.916	518.291	515.292	516.347	516.329	515.047	515.945	515.166	515.897	516.398	520.012	519.530	""	522.981	532.718	534.663	537.506	541.049	544.756	549.054	553.829	556.819	560.940	562.916	563.939	564.373	561.847	559.570	560.549	560.306	558.714	559.436	558.805	559.432	560.169	564.302	562.304	""	564.904	
05 Ávila	157.664	157.640	158.498	160.700	162.514	164.925	167.015	168.825	171.265	172.704	171.896	171.680	171.815	168.638	167.818	167.032	166.108	165.480	165.138	163.885	164.991	166.259	167.132	""	169.342	79.109	79.071	79.538	80.674	81.630	82.880	83.998	85.025	86.434	87.085	86.728	86.720	86.836	84.897	84.290	83.941	83.393	83.036	82.951	82.297	82.790	83.441	84.013	""	85.007	78.555	78.569	78.960	80.026	80.884	82.045	83.017	83.800	84.831	85.619	85.168	84.960	84.979	83.741	83.528	83.091	82.715	82.444	82.187	81.588	82.201	82.818	83.119	""	84.335	
06 Badajoz	672.137	673.559	676.376	679.884	684.113	686.730	690.929	693.729	694.533	693.921	692.137	688.777	685.246	678.459	673.474	671.299	663.896	663.142	662.808	664.251	661.874	664.625	663.803	""	656.848	332.204	333.112	334.636	336.566	338.954	340.376	342.654	344.296	344.690	344.291	343.363	341.912	340.243	336.211	333.759	332.481	328.519	327.802	327.691	328.427	327.198	328.541	328.160	""	324.765	339.933	340.447	341.740	343.318	345.159	346.354	348.275	349.433	349.843	349.630	348.774	346.865	345.003	342.248	339.715	338.818	335.377	335.340	335.117	335.824	334.676	336.084	335.643	""	332.083	
07 Balears, Illes	1.171.543	1.149.460	1.128.908	1.115.999	1.107.220	1.104.479	1.103.442	1.111.674	1.119.439	1.113.114	1.106.049	1.095.426	1.072.844	1.030.650	1.001.062	983.131	955.045	947.361	916.968	878.627	845.630	821.820	796.483	""	760.379	584.298	572.757	561.803	554.925	550.682	549.678	549.801	554.603	560.091	557.577	555.204	551.079	540.395	517.593	501.899	492.642	478.046	474.248	458.349	437.340	419.095	406.358	392.835	""	373.891	587.245	576.703	567.105	561.074	556.538	554.801	553.641	557.071	559.348	555.537	550.845	544.347	532.449	513.057	499.163	490.489	476.999	473.113	458.619	441.287	426.535	415.462	403.648	""	386.488	
