Country,Age,Salary,Purchased
France,44,72000,No
Spain,27,48000,Yes
Germany,30,54000,No
Spain,38,61000,No
Nigeria,18,15000,No
Germany,40,,Yes
France,35,58000,Yes
Spain,,52000,No
France,48,79000,Yes
Germany,50,83000,No
France,37,67000,Yes
Nigeria,50,60000,Yes
France,22,30000,No
,44,45000,Yes
France,47,78000,
Nigeria,35,43000,Yes
Spain,34,44000,Yes
Spain,27,48000,Yes
Spain,33,48000,Yes
Nigeria,29,77000,Yes
Spain,,57000,Yes
France,44,48000,Yes
Germany,50,83000,No
France,37,67000,Yes
France,37,23000,Yes
Germany,45,50000,No
France,37,67000,Yes
Nigeria,30,30000,Yes
Nigeria,29,15000,No
